outprefix,dataset,njobs,timeinsecs
XGB-CV,GMSC,1,47.053159791
jfr-XGB-CV,GMSC,1,43.750036131
XGB-noCV,GMSC,4,10.239158770
jfr-XGB-noCV,GMSC,4,11.071913874
XGB-noCV,GMSC,8,9.949723526
jfr-XGB-noCV,GMSC,8,10.745797688
XGB-CV,RDG,1,74.511681388
jfr-XGB-CV,RDG,1,75.339172319
XGB-noCV,RDG,4,13.942586886
jfr-XGB-noCV,RDG,4,14.866231393
XGB-noCV,RDG,8,14.045727610
jfr-XGB-noCV,RDG,8,14.528731287
RFC-noCV,covtypeNorm,1,256.013026965
jfr-RFC-noCV,covtypeNorm,1,262.890934194
RFC-noCV,covtypeNorm,4,106.267489513
jfr-RFC-noCV,covtypeNorm,4,106.085112945
RFC-noCV,covtypeNorm,8,85.529671250
jfr-RFC-noCV,covtypeNorm,8,87.201968909
RFC-noCV,RBF,1,187.379640377
jfr-RFC-noCV,RBF,1,186.726560769
RFC-noCV,RBF,4,56.449788608
jfr-RFC-noCV,RBF,4,57.710189089
RFC-noCV,RBF,8,38.035033236
jfr-RFC-noCV,RBF,8,38.671402551
